phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,10,0.000513611,0.000345103,0.994
insert,20,0.000553859,0.000297005,0.994
insert,30,0.000605426,0.000298442,0.994
insert,40,0.000573323,0.000292949,0.994
insert,50,0.000541841,0.000297837,0.994
insert,60,0.000538009,0.000309925,0.993
insert,70,0.0005394,0.000293342,0.991
insert,80,0.000525801,0.000305212,0.99
insert,90,0.000527747,0.000296303,0.99
insert,100,0.000519691,0.00030288,0.988
delete,100,0.0011461,0.000325918,0.989
