phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,500,0.000965528,0.000390552,0.865
insert,1000,0.000969677,0.000392561,0.865
insert,1500,0.000946167,0.000388678,0.865
insert,2000,0.000936427,0.000388535,0.865
insert,2500,0.000927822,0.000396671,0.865
insert,3000,0.000923017,0.000391455,0.865
insert,3500,0.000917634,0.00039945,0.865
insert,4000,0.000913021,0.000388121,0.865
insert,4500,0.000908304,0.000389631,0.865
insert,5000,0.000907105,0.000386886,0.865
delete_mark,2000,0.00239294,0.000409127,0.863
delete_mark,4000,0.00281793,0.000411529,0.863
delete_mark,5000,0.00303088,0.000426952,0.862
