phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,500,0.00186959,0.00177071,0.932
insert,1000,0.00196211,0.00138312,0.932
insert,1500,0.00181877,0.00114975,0.932
insert,2000,0.00175498,0.00165742,0.932
insert,2500,0.00175875,0.00138604,0.931
insert,3000,0.00172036,0.00120553,0.931
insert,3500,0.00168458,0.00122632,0.931
insert,4000,0.00166765,0.00119504,0.931
insert,4500,0.0016374,0.00120751,0.931
insert,5000,0.0016158,0.00123226,0.93
delete_patch,1000,0.00444282,0.00158049,0.926
delete_patch,2000,0.00455814,0.00156684,0.927
delete_patch,3000,0.00455417,0.00174434,0.927
delete_patch,4000,0.00480147,0.00165259,0.925
delete_patch,5000,0.005025,0.00149285,0.925
