phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,500,0.00201601,0.000815123,0.753
insert,1000,0.00203443,0.000805186,0.753
insert,1500,0.00201884,0.000903117,0.753
insert,2000,0.00202982,0.000801172,0.753
insert,2500,0.0020331,0.00082631,0.753
insert,3000,0.00201639,0.000786719,0.753
insert,3500,0.00200437,0.000790412,0.753
insert,4000,0.00198909,0.000789721,0.753
insert,4500,0.00198543,0.000793298,0.753
insert,5000,0.0019815,0.000790855,0.753
delete_mark,200,0.0167649,0.00080034,0.754
delete_mark,400,0.0213875,0.000802843,0.753
delete_mark,600,0.0224889,0.000807984,0.754
delete_mark,800,0.0255576,0.000804338,0.753
delete_mark,1000,0.0248418,0.00080355,0.753
delete_mark,1200,0.0257314,0.00099143,0.753
delete_mark,1400,0.0276306,0.00119069,0.753
delete_mark,1600,0.0276021,0.00108466,0.753
delete_mark,1800,0.0275405,0.00101482,0.753
delete_mark,2000,0.0304886,0.00088934,0.753
