phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,500,0.00252286,0.00283191,0.858
insert,1000,0.0024034,0.00268818,0.857
insert,1500,0.00237088,0.00250551,0.857
insert,2000,0.0023684,0.00304814,0.856
insert,2500,0.00238765,0.00255989,0.856
insert,3000,0.00235221,0.0024638,0.856
insert,3500,0.00233376,0.00255986,0.856
insert,4000,0.00232324,0.00246392,0.856
insert,4500,0.00231093,0.00245651,0.856
insert,5000,0.00230131,0.00263195,0.856
delete_patch,200,0.0176598,0.00262486,0.857
delete_patch,400,0.0182912,0.00312006,0.855
delete_patch,600,0.0163495,0.00239208,0.855
delete_patch,800,0.0162266,0.00242016,0.856
delete_patch,1000,0.0160023,0.00232688,0.854
delete_patch,1200,0.0165842,0.00247541,0.852
delete_patch,1400,0.0172503,0.00241898,0.849
delete_patch,1600,0.0167619,0.00230537,0.847
delete_patch,1800,0.016966,0.00264977,0.846
delete_patch,2000,0.0173603,0.00243949,0.849
