phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.000637669,0.000255351,0.859
insert,2000,0.000646096,0.000293103,0.859
insert,3000,0.000642733,0.000247956,0.859
insert,4000,0.000639686,0.000250086,0.859
insert,5000,0.00062818,0.000248273,0.858
insert,6000,0.000611134,0.000248729,0.857
insert,7000,0.000600104,0.000248289,0.854
insert,8000,0.000592928,0.000250761,0.854
insert,9000,0.000588527,0.000247473,0.854
insert,10000,0.0005861,0.000248606,0.854
delete_mark,2000,0.00468492,0.000269143,0.854
delete_mark,4000,0.00414833,0.00026166,0.854
delete_mark,6000,0.00420292,0.000269461,0.813
delete_mark,8000,0.00396653,0.000265422,0.785
delete_mark,10000,0.00396529,0.000268996,0.777
