phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.000834845,0.000844069,0.879
insert,2000,0.000824124,0.000833428,0.879
insert,3000,0.000819529,0.000814217,0.879
insert,4000,0.000856212,0.00123599,0.879
insert,5000,0.000863218,0.000908983,0.872
insert,6000,0.000834415,0.000825657,0.862
insert,7000,0.000814423,0.000917959,0.848
insert,8000,0.000808173,0.000845705,0.84
insert,9000,0.00079817,0.000915116,0.839
insert,10000,0.000789573,0.000838903,0.839
delete_patch,2000,0.00451806,0.000889598,0.839
delete_patch,4000,0.00431867,0.000915936,0.839
delete_patch,6000,0.00436431,0.00085234,0.818
delete_patch,8000,0.00408013,0.00085319,0.804
delete_patch,10000,0.00406556,0.00085327,0.793
