phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,500,0.00314784,0.00160458,0.939
insert,1000,0.0032509,0.00185144,0.939
insert,1500,0.00323591,0.00153163,0.939
insert,2000,0.00326557,0.00180463,0.939
insert,2500,0.00328745,0.00193052,0.939
insert,3000,0.00323734,0.00175409,0.939
insert,3500,0.00320331,0.00178391,0.939
insert,4000,0.00319142,0.00214439,0.939
insert,4500,0.00316098,0.00151328,0.939
insert,5000,0.00312666,0.00161163,0.938
delete_no_rebuild,1000,1.0015e-07,0.00148882,0.938
delete_no_rebuild,2000,8.75725e-08,0.00145258,0.938
delete_no_rebuild,3000,7.60227e-08,0.00146196,0.937
delete_no_rebuild,4000,8.07037e-08,0.00146914,0.936
delete_no_rebuild,5000,7.81342e-08,0.00149584,0.936
delete_rebuild,5000,0.370715,0.0018769,0.936
