phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,500,0.000453251,0.16075,0.952
insert,1000,0.00039052,0.152856,0.952
insert,1500,0.000395574,0.152058,0.952
insert,2000,0.000402254,0.152392,0.952
insert,2500,0.000421107,0.151165,0.952
insert,3000,0.000421373,0.151798,0.952
insert,3500,0.000412982,0.152425,0.952
insert,4000,0.000409352,0.158435,0.952
insert,4500,0.00040813,0.152244,0.952
insert,5000,0.00041941,0.152234,0.952
delete_no_rebuild,1000,7.1685e-08,0.1536,0.952
delete_no_rebuild,2000,6.2616e-08,0.154054,0.952
delete_no_rebuild,3000,5.92303e-08,0.153717,0.951
delete_no_rebuild,4000,6.1384e-08,0.159097,0.95
delete_no_rebuild,5000,5.95598e-08,0.153882,0.949
delete_rebuild,5000,0.268713,0.159254,0.948
