phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,500,0.00165548,0.00501748,0.851
insert,1000,0.00155286,0.00451507,0.847
insert,1500,0.00152449,0.00454962,0.847
insert,2000,0.00150401,0.00442736,0.847
insert,2500,0.00148983,0.00451779,0.847
insert,3000,0.00149104,0.00457818,0.847
insert,3500,0.00147959,0.00441487,0.847
insert,4000,0.00146942,0.00440056,0.847
insert,4500,0.00146342,0.0043974,0.847
insert,5000,0.00146267,0.00455133,0.847
delete_mark,2000,0.00718893,0.00443924,0.841
delete_mark,4000,0.00797134,0.00454954,0.852
delete_mark,5000,0.00814519,0.00448975,0.852
