phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,500,0.00194267,0.00597122,0.851
insert,1000,0.00179984,0.00535767,0.847
insert,1500,0.0017985,0.0056037,0.847
insert,2000,0.00181114,0.00538782,0.847
insert,2500,0.00178237,0.00535658,0.847
insert,3000,0.00175682,0.00524961,0.847
insert,3500,0.0017437,0.00552183,0.847
insert,4000,0.00174331,0.00527866,0.847
insert,4500,0.00174434,0.00546905,0.847
insert,5000,0.00174217,0.00553087,0.847
delete_mark,2000,0.0091058,0.00603908,0.841
delete_mark,4000,0.00989199,0.00568321,0.852
delete_mark,5000,0.00992604,0.00573906,0.852
