phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,500,0.00173552,0.00507697,0.866
insert,1000,0.00166531,0.00496117,0.86
insert,1500,0.00163999,0.00502166,0.86
insert,2000,0.0016249,0.00479674,0.86
insert,2500,0.00161849,0.00483849,0.86
insert,3000,0.00162467,0.00504527,0.86
insert,3500,0.00162372,0.00499069,0.86
insert,4000,0.00161787,0.00498368,0.86
insert,4500,0.00161645,0.00496414,0.86
insert,5000,0.00161871,0.00493887,0.86
delete_mark,2000,0.00778399,0.00485416,0.86
delete_mark,4000,0.0086102,0.00540769,0.856
delete_mark,5000,0.00902929,0.00519688,0.856
