phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,500,0.00127007,0.000458042,0.854
insert,1000,0.00115778,0.000363527,0.854
insert,1500,0.00107165,0.000371062,0.854
insert,2000,0.00103316,0.000361465,0.854
insert,2500,0.00100097,0.000366532,0.854
insert,3000,0.000972574,0.00034176,0.854
insert,3500,0.000947288,0.000338213,0.854
insert,4000,0.0009358,0.000367686,0.854
insert,4500,0.000936752,0.000360441,0.854
insert,5000,0.000926609,0.000377077,0.854
delete_mark,2000,0.0028001,0.000361704,0.852
delete_mark,4000,0.00357478,0.000353146,0.85
delete_mark,5000,0.003681,0.000358797,0.849
