phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.00131472,0.00141387,0.938
insert,2000,0.00129048,0.00137629,0.939
insert,3000,0.00127735,0.00137331,0.939
insert,4000,0.00128652,0.00137778,0.939
insert,5000,0.00128972,0.0013746,0.938
insert,6000,0.00128612,0.00137057,0.936
insert,7000,0.00128907,0.00137042,0.936
insert,8000,0.00128553,0.00138179,0.936
insert,9000,0.0012863,0.00138512,0.936
insert,10000,0.00128436,0.00145818,0.936
delete_no_rebuild,1000,1.13113e-07,0.0013771,0.935
delete_no_rebuild,2000,1.15191e-07,0.00138034,0.935
delete_no_rebuild,3000,1.06511e-07,0.00138043,0.934
delete_no_rebuild,4000,1.17683e-07,0.00138091,0.934
delete_no_rebuild,5000,1.12784e-07,0.001639,0.934
delete_rebuild,5000,0.381601,0.00143394,0.933
