phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,500,0.0010388,0.000961232,0.913
insert,1000,0.00101565,0.000948464,0.913
insert,1500,0.00100708,0.000947455,0.913
insert,2000,0.000999992,0.000946368,0.913
insert,2500,0.000997091,0.000951756,0.913
insert,3000,0.000992571,0.000943773,0.913
insert,3500,0.000990269,0.000949088,0.913
insert,4000,0.000986563,0.000961029,0.913
insert,4500,0.000986158,0.000951067,0.913
insert,5000,0.000987618,0.00096313,0.912
delete_patch,1000,0.00111335,0.00111415,0.911
delete_patch,2000,0.00118563,0.0010874,0.91
delete_patch,3000,0.00114623,0.00105621,0.91
delete_patch,4000,0.00113078,0.00104213,0.909
delete_patch,5000,0.00111872,0.00103718,0.907
