phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,500,0.00214894,0.00206468,0.913
insert,1000,0.00209759,0.00181904,0.913
insert,1500,0.00194969,0.00207067,0.913
insert,2000,0.0019753,0.00204695,0.913
insert,2500,0.00199095,0.0020589,0.913
insert,3000,0.00192339,0.00206861,0.913
insert,3500,0.00193786,0.00209518,0.913
insert,4000,0.00188466,0.000941613,0.913
insert,4500,0.00183808,0.00206421,0.913
insert,5000,0.0018377,0.00102631,0.912
delete_patch,1000,0.00563181,0.00223426,0.909
delete_patch,2000,0.0062102,0.002235,0.908
delete_patch,3000,0.00626528,0.00370803,0.907
delete_patch,4000,0.00660941,0.00163088,0.906
delete_patch,5000,0.00696531,0.00400925,0.906
