phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,500,0.00104454,0.000940383,0.913
insert,1000,0.00102062,0.000935857,0.913
insert,1500,0.0010138,0.000932718,0.913
insert,2000,0.00101043,0.000943596,0.913
insert,2500,0.00100886,0.000923183,0.913
insert,3000,0.00100159,0.000933204,0.913
insert,3500,0.000998127,0.000923861,0.913
insert,4000,0.000992903,0.00092754,0.913
insert,4500,0.00099095,0.000925699,0.913
insert,5000,0.000990135,0.000943733,0.912
delete_patch,1000,0.0033636,0.00101064,0.909
delete_patch,2000,0.00363981,0.000997007,0.908
delete_patch,3000,0.00341817,0.000950497,0.907
delete_patch,4000,0.00332679,0.000965152,0.906
delete_patch,5000,0.00329065,0.000975519,0.906
