phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,500,0.00102441,0.000913759,0.913
insert,1000,0.000988868,0.000910281,0.913
insert,1500,0.000977643,0.000902533,0.913
insert,2000,0.000970711,0.000907279,0.913
insert,2500,0.000967265,0.000902519,0.913
insert,3000,0.00096509,0.000908044,0.913
insert,3500,0.000961161,0.000905517,0.913
insert,4000,0.000959993,0.0009038,0.913
insert,4500,0.000959183,0.000899878,0.913
insert,5000,0.000958639,0.000901227,0.912
delete_patch,1000,0.00179885,0.00105359,0.911
delete_patch,2000,0.00207243,0.00103241,0.91
delete_patch,3000,0.00194484,0.00101381,0.91
delete_patch,4000,0.00190971,0.000997621,0.909
delete_patch,5000,0.00188001,0.000981974,0.907
