phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,500,0.00571614,0.00421731,0.87
insert,1000,0.00565422,0.00381039,0.87
insert,1500,0.00599281,0.00288263,0.869
insert,2000,0.00587168,0.00319138,0.869
insert,2500,0.00574891,0.0035558,0.87
insert,3000,0.00576742,0.00291585,0.869
insert,3500,0.00579555,0.00376579,0.869
insert,4000,0.00575277,0.00292351,0.869
insert,4500,0.00569586,0.00332471,0.868
insert,5000,0.00569161,0.00381038,0.866
delete_no_rebuild,10,2.6032e-06,0.0033446,0.866
delete_no_rebuild,20,1.4298e-06,0.00332945,0.866
delete_no_rebuild,30,1.0614e-06,0.00328901,0.866
delete_no_rebuild,40,8.23425e-07,0.00332254,0.866
delete_no_rebuild,50,7.2658e-07,0.00329398,0.866
