phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,100,0.00968195,0.44252,0.916
insert,200,0.0107324,0.435984,0.917
insert,300,0.0116173,0.442718,0.917
insert,400,0.0112626,0.432252,0.917
insert,500,0.011012,0.410136,0.917
insert,600,0.0101634,0.417775,0.917
insert,700,0.00982241,0.39812,0.917
insert,800,0.00930547,0.448806,0.916
insert,900,0.0091277,0.427099,0.916
insert,1000,0.00917454,0.307342,0.916
delete_no_rebuild,200,7.753e-08,0.255972,0.916
delete_no_rebuild,400,5.9645e-08,0.294242,0.917
delete_no_rebuild,600,8.92017e-08,0.26109,0.916
delete_no_rebuild,800,7.86212e-08,0.250661,0.916
delete_no_rebuild,1000,8.9694e-08,0.249042,0.917
delete_rebuild,1000,0.526244,0.248818,0.918
