phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,500,0.00264378,0.00319329,0.549
insert,1000,0.00269382,0.00277754,0.554
insert,1500,0.00256917,0.00259495,0.555
insert,2000,0.00247377,0.00259,0.555
insert,2500,0.00241387,0.00253684,0.555
insert,3000,0.00236682,0.00263282,0.555
insert,3500,0.00236971,0.00291966,0.555
insert,4000,0.00236805,0.00292411,0.555
insert,4500,0.00237864,0.00286874,0.555
insert,5000,0.00237413,0.00261155,0.555
delete_mark,50,0.107103,0.00261398,0.555
