phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,500,0.00463717,0.00771474,0.721
insert,1000,0.00467479,0.00726345,0.721
insert,1500,0.00477944,0.00727683,0.721
insert,2000,0.00472898,0.00727177,0.721
insert,2500,0.00474644,0.0072793,0.721
insert,3000,0.00472931,0.0072846,0.721
insert,3500,0.00469618,0.00730356,0.721
insert,4000,0.00464041,0.00725784,0.719
insert,4500,0.0046544,0.00726268,0.719
insert,5000,0.00466864,0.00729199,0.719
delete_mark,200,0.0655534,0.00736889,0.719
delete_mark,400,0.0759363,0.00733682,0.714
delete_mark,600,0.0809902,0.00743384,0.717
delete_mark,800,0.0886033,0.00720961,0.715
delete_mark,1000,0.0908438,0.00796665,0.717
delete_mark,1200,0.091584,0.00767696,0.718
delete_mark,1400,0.0906484,0.00739739,0.717
delete_mark,1600,0.0911287,0.00715466,0.715
delete_mark,1800,0.090003,0.00746024,0.714
delete_mark,2000,0.0911788,0.00691372,0.712
