phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,500,0.00199336,0.000892254,0.701
insert,1000,0.0019702,0.000888632,0.701
insert,1500,0.00196572,0.000867566,0.701
insert,2000,0.00193504,0.000868244,0.701
insert,2500,0.00193342,0.000864463,0.701
insert,3000,0.00191813,0.000867609,0.701
insert,3500,0.00190862,0.000885843,0.701
insert,4000,0.00188926,0.000870971,0.701
insert,4500,0.00188638,0.000899884,0.701
insert,5000,0.00189113,0.000911773,0.701
delete_mark,200,0.0821178,0.00157716,0.701
delete_mark,400,0.0894836,0.00127749,0.7
delete_mark,600,0.0920082,0.000912409,0.7
delete_mark,800,0.0972224,0.00180549,0.699
delete_mark,1000,0.0974924,0.00110638,0.699
delete_mark,1200,0.0967531,0.00092478,0.699
delete_mark,1400,0.0950752,0.0015487,0.699
delete_mark,1600,0.0950426,0.00104947,0.699
delete_mark,1800,0.0929,0.000774365,0.698
delete_mark,2000,0.0942464,0.00207045,0.698
