phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.00294906,0.00364594,0.866
insert,2000,0.00279314,0.00288711,0.866
insert,3000,0.00281169,0.00341055,0.868
insert,4000,0.00289987,0.00355469,0.867
insert,5000,0.00288477,0.00290446,0.868
insert,6000,0.00286002,0.0029371,0.867
insert,7000,0.00281119,0.00290472,0.866
insert,8000,0.0027782,0.00289563,0.866
insert,9000,0.00278969,0.00284117,0.867
insert,10000,0.00279375,0.00282424,0.867
delete_no_rebuild,100,2.7172e-07,0.00280229,0.867
delete_no_rebuild,200,2.9794e-07,0.0029032,0.866
delete_no_rebuild,300,2.82463e-07,0.0028419,0.866
