phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,100,0.00301768,0.00189971,0.851
insert,200,0.00298045,0.00190284,0.851
insert,300,0.00298431,0.00191421,0.851
insert,400,0.00295824,0.00189625,0.851
insert,500,0.00294857,0.001897,0.851
insert,600,0.00294399,0.00192751,0.851
insert,700,0.00296428,0.00193122,0.851
insert,800,0.00296744,0.00192672,0.851
insert,900,0.00296493,0.00192659,0.851
insert,1000,0.0029514,0.00190827,0.851
delete_patch,200,0.00398224,0.00197604,0.848
delete_patch,400,0.0039755,0.00193408,0.845
delete_patch,600,0.0037633,0.00188372,0.845
delete_patch,800,0.00401565,0.00187517,0.844
delete_patch,1000,0.00408001,0.00182266,0.846
