phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,500,0.00219473,0.00242152,0.851
insert,1000,0.00217285,0.00213959,0.851
insert,1500,0.00214731,0.00225818,0.851
insert,2000,0.00212276,0.00207559,0.851
insert,2500,0.00213903,0.00224336,0.851
insert,3000,0.0021243,0.00214369,0.851
insert,3500,0.00211842,0.00225431,0.851
insert,4000,0.00211123,0.00212247,0.851
insert,4500,0.00211485,0.00224705,0.851
insert,5000,0.00211474,0.00218175,0.85
delete_patch,200,0.0175447,0.00288709,0.848
delete_patch,400,0.0173773,0.0023822,0.846
delete_patch,600,0.016256,0.00218497,0.846
delete_patch,800,0.0172359,0.00224411,0.845
delete_patch,1000,0.0180075,0.00225928,0.843
delete_patch,1200,0.0174299,0.00224032,0.842
delete_patch,1400,0.0179465,0.00217493,0.84
delete_patch,1600,0.0181174,0.00269496,0.84
delete_patch,1800,0.0175752,0.00217807,0.838
delete_patch,2000,0.0181381,0.00216556,0.838
