phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,500,0.00208973,0.00210756,0.851
insert,1000,0.00208872,0.00216064,0.851
insert,1500,0.00209409,0.00220044,0.851
insert,2000,0.00206134,0.00222333,0.851
insert,2500,0.00205563,0.0021824,0.851
insert,3000,0.00204023,0.00219,0.851
insert,3500,0.0020328,0.00215546,0.851
insert,4000,0.00200961,0.0020569,0.851
insert,4500,0.00200517,0.00213025,0.851
insert,5000,0.0020018,0.0021664,0.85
delete_patch,200,0.0175311,0.00228433,0.848
delete_patch,400,0.017078,0.00228599,0.846
delete_patch,600,0.016136,0.00222842,0.846
delete_patch,800,0.0171321,0.00214632,0.845
delete_patch,1000,0.0176912,0.00268299,0.843
delete_patch,1200,0.0176992,0.00215986,0.842
delete_patch,1400,0.0181232,0.00199286,0.84
delete_patch,1600,0.0181437,0.0021444,0.84
delete_patch,1800,0.0174539,0.00208373,0.838
delete_patch,2000,0.0178941,0.00202672,0.838
