dataset,variant,run_id,split_strategy,use_sampling,full_threshold,sample_size,balance_min_frac,lsh_enabled,lsh_tables,lsh_k,lsh_seed_count,ef_seed,aknn_build_s,aknn_search_s,aknn_recall,update_build_s,update_insert_avg_s_per_item,update_final_recall
deep,baseline,1,lb,0,200,300,0.1,0,4,4,4,32,73.606873,0.001425,0.945000,74.610237,0.002476,0.935
deep,baseline,2,lb,0,200,300,0.1,0,4,4,4,32,74.458099,0.001394,0.938000,76.083725,0.002666,0.932
deep,lsh,1,lb,0,200,300,0.1,1,4,4,4,32,76.649933,0.002145,0.913000,76.754128,0.002895,0.912
deep,lsh,2,lb,0,200,300,0.1,1,4,4,4,32,75.048210,0.002154,0.924000,77.039619,0.002810,0.913
gist,baseline,1,lb,0,200,300,0.1,0,4,4,4,32,239.389023,0.003501,0.875000,235.481110,0.005931,0.865
gist,baseline,2,lb,0,200,300,0.1,0,4,4,4,32,239.206558,0.003219,0.865000,238.287292,0.005800,0.875
gist,lsh,1,lb,0,200,300,0.1,1,4,4,4,32,234.848816,0.004298,0.824000,234.793137,0.005268,0.836
gist,lsh,2,lb,0,200,300,0.1,1,4,4,4,32,232.748566,0.004215,0.822000,233.955933,0.005904,0.842
sift,baseline,1,lb,0,200,300,0.1,0,4,4,4,32,38.502785,0.001479,0.979000,39.118320,0.001828,0.966
sift,baseline,2,lb,0,200,300,0.1,0,4,4,4,32,37.275780,0.001056,0.975000,35.559830,0.001705,0.964
sift,lsh,1,lb,0,200,300,0.1,1,4,4,4,32,37.405827,0.001739,0.973000,39.235668,0.001902,0.96
sift,lsh,2,lb,0,200,300,0.1,1,4,4,4,32,37.886189,0.002212,0.975000,36.779037,0.001825,0.962
