strategy,phase,updated,recall
direct,insert,1000,0.978
direct,insert,2000,0.978
direct,insert,3000,0.978
direct,insert,4000,0.978
direct,insert,5000,0.967
direct,insert,6000,0.938
direct,insert,7000,0.917
direct,insert,8000,0.907
direct,insert,9000,0.898
direct,insert,10000,0.895
direct,delete_rebuild,10000,0.904
lazy,insert,1000,0.979
lazy,insert,2000,0.979
lazy,insert,3000,0.979
lazy,insert,4000,0.979
lazy,insert,5000,0.968
lazy,insert,6000,0.937
lazy,insert,7000,0.916
lazy,insert,8000,0.906
lazy,insert,9000,0.896
lazy,insert,10000,0.893
lazy,delete_no_rebuild,2000,0.893
lazy,delete_no_rebuild,4000,0.893
lazy,delete_no_rebuild,6000,0.885
lazy,delete_no_rebuild,8000,0.88
lazy,delete_no_rebuild,10000,0.878
lazy,delete_rebuild,10000,0.877
wolverine,insert,1000,0.88
wolverine,insert,2000,0.88
wolverine,insert,3000,0.88
wolverine,insert,4000,0.88
wolverine,insert,5000,0.877
wolverine,insert,6000,0.868
wolverine,insert,7000,0.856
wolverine,insert,8000,0.851
wolverine,insert,9000,0.845
wolverine,insert,10000,0.845
wolverine,delete_patch,2000,0.845
wolverine,delete_patch,4000,0.845
wolverine,delete_patch,6000,0.823
wolverine,delete_patch,8000,0.807
wolverine,delete_patch,10000,0.796
hybrid,insert,1000,0.88
hybrid,insert,2000,0.88
hybrid,insert,3000,0.88
hybrid,insert,4000,0.88
hybrid,insert,5000,0.877
hybrid,insert,6000,0.868
hybrid,insert,7000,0.856
hybrid,insert,8000,0.851
hybrid,insert,9000,0.845
hybrid,insert,10000,0.845
hybrid,delete_no_rebuild,2000,0.845
hybrid,delete_no_rebuild,4000,0.845
hybrid,delete_rebuild,6000,0.823
hybrid,delete_rebuild,8000,0.807
hybrid,delete_rebuild,10000,0.796
