phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.0011546,0.00111259,0.978
insert,2000,0.00110407,0.00103552,0.978
insert,3000,0.00107398,0.00142615,0.978
insert,4000,0.00105987,0.00140013,0.978
insert,5000,0.00105467,0.0010144,0.967
insert,6000,0.00103877,0.00105111,0.938
insert,7000,0.00103423,0.00110688,0.917
insert,8000,0.00101805,0.0010982,0.907
insert,9000,0.00100534,0.00108918,0.898
insert,10000,0.000995449,0.00111828,0.895
delete_rebuild,10000,0.127881,0.000959659,0.904
