phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,500,0.00174853,0.00101918,0.977
insert,1000,0.00172537,0.000986283,0.977
insert,1500,0.00170933,0.000974751,0.977
insert,2000,0.00171872,0.00121612,0.977
insert,2500,0.00172873,0.000933972,0.977
insert,3000,0.00174841,0.000934481,0.977
insert,3500,0.00174777,0.000948401,0.977
insert,4000,0.00175224,0.000932804,0.977
insert,4500,0.00174538,0.000935289,0.975
insert,5000,0.00173891,0.000931607,0.966
delete,500,0.184433,0.000954045,0.966
