phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.000952179,0.00101256,0.979
insert,2000,0.000899619,0.000931848,0.979
insert,3000,0.000889078,0.000932505,0.979
insert,4000,0.000874812,0.000930909,0.979
insert,5000,0.00086489,0.00093596,0.968
insert,6000,0.000859071,0.000949115,0.937
insert,7000,0.000859504,0.000935036,0.916
insert,8000,0.00085568,0.000931481,0.906
insert,9000,0.000852261,0.000924271,0.896
insert,10000,0.00084977,0.000921489,0.893
delete_no_rebuild,2000,8.27145e-08,0.000956566,0.893
delete_no_rebuild,4000,8.13247e-08,0.000954044,0.893
delete_no_rebuild,6000,7.14345e-08,0.000953703,0.885
delete_no_rebuild,8000,7.62216e-08,0.000945848,0.88
delete_no_rebuild,10000,7.08873e-08,0.000932118,0.878
delete_rebuild,10000,0.120377,0.00124015,0.877
