phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.000157347,0.0715812,0.849
insert,2000,0.000152208,0.0698847,0.849
insert,3000,0.00015672,0.0710611,0.849
insert,4000,0.000159199,0.0703647,0.849
insert,5000,0.000156986,0.0698056,0.844
insert,6000,0.000159087,0.0712769,0.826
insert,7000,0.000160159,0.0707088,0.813
insert,8000,0.000157372,0.0700647,0.806
insert,9000,0.000156002,0.0694856,0.799
insert,10000,0.000152956,0.0694011,0.8
delete_no_rebuild,2000,5.1917e-08,0.0711463,0.799
delete_no_rebuild,4000,5.52165e-08,0.0705176,0.799
delete_no_rebuild,6000,4.86027e-08,0.0709934,0.781
delete_no_rebuild,8000,5.29059e-08,0.0701976,0.769
delete_no_rebuild,10000,5.13426e-08,0.0707244,0.761
delete_rebuild,10000,0.126833,0.142862,0.759
