phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,100,0.000952251,0.0712215,0.845
insert,200,0.00105482,0.0696172,0.845
insert,300,0.000926369,0.0723609,0.845
insert,400,0.000862561,0.0711987,0.845
insert,500,0.000873165,0.0701741,0.845
insert,600,0.000844547,0.0713088,0.845
insert,700,0.000822196,0.0717403,0.845
insert,800,0.000805905,0.0718062,0.845
insert,900,0.000793521,0.0700626,0.845
insert,1000,0.000790191,0.0707574,0.845
delete_no_rebuild,200,1.6478e-07,0.0700074,0.845
delete_no_rebuild,400,1.01745e-07,0.0700647,0.845
delete_no_rebuild,600,8.871e-08,0.0699125,0.845
delete_no_rebuild,800,7.57275e-08,0.0730002,0.845
delete_no_rebuild,1000,9.0315e-08,0.0706979,0.845
delete_rebuild,1000,0.185028,0.118454,0.841
