phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.000400287,0.000537236,0.88
insert,2000,0.000398764,0.000536811,0.88
insert,3000,0.000399719,0.000538342,0.88
insert,4000,0.000399201,0.000541133,0.88
insert,5000,0.000394719,0.000537712,0.877
insert,6000,0.000386992,0.000538943,0.868
insert,7000,0.000381568,0.000535063,0.856
insert,8000,0.000378425,0.000535914,0.851
insert,9000,0.000376745,0.000535987,0.845
insert,10000,0.000376181,0.000535181,0.845
delete_patch,2000,0.0011267,0.00065252,0.845
delete_patch,4000,0.00108675,0.000649138,0.845
delete_patch,6000,0.00108127,0.000634586,0.823
delete_patch,8000,0.00103413,0.000630926,0.807
delete_patch,10000,0.00101783,0.000635364,0.796
