phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.00077326,0.00216188,0.719
insert,2000,0.000759956,0.00178837,0.721
insert,3000,0.000760888,0.00178625,0.718
insert,4000,0.000762807,0.00181032,0.717
insert,5000,0.000754125,0.00193828,0.716
insert,6000,0.000731927,0.001796,0.714
insert,7000,0.000715693,0.00200586,0.713
insert,8000,0.000705801,0.00177447,0.711
insert,9000,0.000699517,0.00187865,0.712
insert,10000,0.000700629,0.00184669,0.712
delete_mark,2000,0.00917432,0.00197349,0.614
delete_mark,4000,0.00936166,0.00188448,0.747
delete_mark,6000,0.00916843,0.0018969,0.591
delete_mark,8000,0.00955133,0.00188745,0.756
delete_mark,10000,0.00909908,0.00199419,0.718
