phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.000821864,0.00233402,0.719
insert,2000,0.000820101,0.00202409,0.721
insert,3000,0.000829869,0.00216183,0.718
insert,4000,0.000823741,0.00199504,0.717
insert,5000,0.000804226,0.00200482,0.716
insert,6000,0.000777586,0.00198463,0.714
insert,7000,0.00076541,0.00198746,0.713
insert,8000,0.000754763,0.00199148,0.711
insert,9000,0.000749669,0.0020413,0.712
insert,10000,0.000746121,0.00198891,0.712
delete_mark,2000,0.0100954,0.00207923,0.614
delete_mark,4000,0.0105546,0.00206501,0.746
delete_mark,6000,0.0105489,0.00206382,0.59
delete_mark,8000,0.0109902,0.00213762,0.755
delete_mark,10000,0.010472,0.00214875,0.717
