phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.00112561,0.00511651,0.836
insert,2000,0.00111813,0.00503235,0.83
insert,3000,0.00112216,0.00467716,0.83
insert,4000,0.00112516,0.00465499,0.83
insert,5000,0.00110599,0.00460479,0.829
insert,6000,0.00107027,0.0047422,0.826
insert,7000,0.00104955,0.00468146,0.825
insert,8000,0.0010345,0.00478244,0.824
insert,9000,0.00103003,0.00468098,0.825
insert,10000,0.0010253,0.00471678,0.825
delete_mark,2000,0.0123836,0.00803976,0.738
delete_mark,4000,0.0161548,0.0146895,0.771
delete_mark,6000,0.0182081,0.00936917,0.789
delete_mark,8000,0.018031,0.0195481,0.77
delete_mark,10000,0.0182126,0.0124278,0.756
