phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.0011478,0.00508508,0.836
insert,2000,0.00112825,0.00483515,0.83
insert,3000,0.001128,0.00502588,0.83
insert,4000,0.00112601,0.00485687,0.83
insert,5000,0.00110508,0.00497415,0.829
insert,6000,0.00106983,0.00495008,0.826
insert,7000,0.00104514,0.00476749,0.825
insert,8000,0.0010312,0.00487049,0.824
insert,9000,0.00102243,0.00475097,0.825
insert,10000,0.0010182,0.00474512,0.825
delete_mark,2000,0.00740338,0.00466349,0.738
delete_mark,4000,0.00738409,0.00491851,0.771
delete_mark,6000,0.00740781,0.00472681,0.789
delete_mark,8000,0.00714629,0.00482135,0.77
delete_mark,10000,0.00704135,0.00499917,0.756
