phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.00111751,0.00496953,0.836
insert,2000,0.00111831,0.00479375,0.83
insert,3000,0.0011245,0.00471413,0.83
insert,4000,0.00112737,0.00474454,0.83
insert,5000,0.00111507,0.00474164,0.829
insert,6000,0.00108066,0.00466453,0.826
insert,7000,0.00105529,0.00470701,0.825
insert,8000,0.00104208,0.00478542,0.824
insert,9000,0.00103361,0.00479378,0.825
insert,10000,0.00102933,0.00474473,0.825
delete_mark,2000,0.00748712,0.00463748,0.738
delete_mark,4000,0.00745734,0.0048393,0.771
delete_mark,6000,0.00748309,0.00470221,0.789
delete_mark,8000,0.00722468,0.00481981,0.77
delete_mark,10000,0.00712359,0.00502143,0.756
