phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.00110812,0.00493708,0.836
insert,2000,0.00113203,0.00459633,0.83
insert,3000,0.00113049,0.00480053,0.83
insert,4000,0.00112402,0.00487639,0.83
insert,5000,0.00110236,0.00460549,0.829
insert,6000,0.00106873,0.00489698,0.826
insert,7000,0.00104622,0.00486027,0.825
insert,8000,0.00102884,0.00469829,0.824
insert,9000,0.00101997,0.00465313,0.825
insert,10000,0.00101729,0.00482586,0.825
delete_mark,2000,0.00732503,0.00465203,0.738
delete_mark,4000,0.00732291,0.00489457,0.771
delete_mark,6000,0.00733749,0.00460786,0.77
delete_mark,8000,0.00708084,0.00487297,0.767
delete_mark,10000,0.00697986,0.00486809,0.754
