phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.00126617,0.00614981,0.847
insert,2000,0.00128231,0.00595342,0.847
insert,3000,0.00129156,0.00565802,0.847
insert,4000,0.00131166,0.00566729,0.847
insert,5000,0.00130152,0.00552697,0.846
insert,6000,0.00126027,0.00559267,0.843
insert,7000,0.00126407,0.0055373,0.842
insert,8000,0.00124349,0.00571773,0.841
insert,9000,0.00124667,0.0060456,0.842
insert,10000,0.00124735,0.00604367,0.842
delete_mark,2000,0.00864975,0.0055952,0.794
delete_mark,4000,0.00842131,0.00561343,0.821
delete_mark,6000,0.00852293,0.00816053,0.792
delete_mark,8000,0.0109127,0.0143042,0.792
delete_mark,10000,0.0136143,0.0149373,0.779
