phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.0010976,0.0049895,0.836
insert,2000,0.00111456,0.00471185,0.83
insert,3000,0.00112435,0.00473576,0.83
insert,4000,0.00112389,0.0047022,0.83
insert,5000,0.00110734,0.00475493,0.829
insert,6000,0.00107302,0.00485331,0.826
insert,7000,0.0010478,0.0047991,0.825
insert,8000,0.0010342,0.00472354,0.824
insert,9000,0.00102717,0.00489286,0.825
insert,10000,0.00102233,0.00477457,0.825
delete_mark,2000,0.00743682,0.00464547,0.738
delete_mark,4000,0.00742249,0.0047535,0.771
delete_mark,6000,0.00743889,0.00490689,0.789
delete_mark,8000,0.0071784,0.0048932,0.77
delete_mark,10000,0.0070709,0.00493722,0.756
