phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.000675294,0.00172313,0.861
insert,2000,0.000671649,0.00157286,0.86
insert,3000,0.000673319,0.00158082,0.86
insert,4000,0.000672791,0.00166084,0.86
insert,5000,0.000663408,0.00157675,0.859
insert,6000,0.000647438,0.00158035,0.857
insert,7000,0.000633433,0.0015805,0.854
insert,8000,0.00062411,0.00158572,0.854
insert,9000,0.000619054,0.00159557,0.854
insert,10000,0.000617096,0.0015648,0.854
delete_mark,2000,0.00716962,0.00160988,0.855
delete_mark,4000,0.00683918,0.00161809,0.856
delete_mark,6000,0.00683696,0.00158307,0.825
delete_mark,8000,0.00648663,0.00161,0.795
delete_mark,10000,0.00641309,0.00167255,0.784
