phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.000804834,0.00197374,0.861
insert,2000,0.000802655,0.00189636,0.86
insert,3000,0.000804256,0.00192463,0.86
insert,4000,0.000807007,0.00190505,0.86
insert,5000,0.000792192,0.00189195,0.859
insert,6000,0.00077039,0.00186455,0.857
insert,7000,0.000754478,0.00191288,0.854
insert,8000,0.000744827,0.00189342,0.854
insert,9000,0.00074263,0.00191699,0.854
insert,10000,0.000742272,0.0019057,0.854
delete_mark,2000,0.00896222,0.00195932,0.855
delete_mark,4000,0.00851315,0.001947,0.856
delete_mark,6000,0.00849514,0.00202337,0.825
delete_mark,8000,0.0080439,0.00194196,0.795
delete_mark,10000,0.00794549,0.0021029,0.784
