phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.00244697,0.000839813,0.855
insert,2000,0.00208024,0.000446826,0.855
insert,3000,0.0021248,0.000736692,0.855
insert,4000,0.00219921,0.000917284,0.855
insert,5000,0.00209868,0.000649522,0.854
insert,6000,0.00201501,0.000708344,0.852
insert,7000,0.00201502,0.00104866,0.849
insert,8000,0.00202246,0.000753924,0.849
insert,9000,0.00196337,0.000888373,0.849
insert,10000,0.00198158,0.000956625,0.849
delete_mark,2000,0.0233002,0.00125002,0.849
delete_mark,4000,0.0213471,0.00073362,0.849
delete_mark,6000,0.0228243,0.00114622,0.814
delete_mark,8000,0.0197287,0.000438234,0.784
delete_mark,10000,0.0190123,0.000936131,0.773
