phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.00146705,0.000741188,0.857
insert,2000,0.00147823,0.000680787,0.857
insert,3000,0.00143516,0.000568314,0.857
insert,4000,0.00145288,0.000823591,0.857
insert,5000,0.00139854,0.000443556,0.856
insert,6000,0.00132177,0.000902559,0.854
insert,7000,0.00129922,0.000655859,0.851
insert,8000,0.00128303,0.000699917,0.851
insert,9000,0.0012917,0.000632974,0.851
insert,10000,0.00128098,0.000734422,0.851
delete_mark,2000,0.0232509,0.00106662,0.851
delete_mark,4000,0.0219282,0.000388247,0.851
delete_mark,6000,0.0216485,0.000930199,0.815
delete_mark,8000,0.0200253,0.00083466,0.785
delete_mark,10000,0.0192826,0.000765206,0.774
