phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.00108624,0.00338533,0.836
insert,2000,0.00109655,0.00307896,0.83
insert,3000,0.0011048,0.00308475,0.83
insert,4000,0.00110487,0.00325117,0.83
insert,5000,0.00108928,0.00306528,0.829
insert,6000,0.00105751,0.00307697,0.826
insert,7000,0.00103527,0.0030833,0.825
insert,8000,0.00102277,0.00307979,0.824
insert,9000,0.00101505,0.00285624,0.825
insert,10000,0.00100273,0.00276898,0.825
delete_mark,2000,0.0122302,0.00274789,0.817
delete_mark,4000,0.0119978,0.00307057,0.804
delete_mark,6000,0.0116886,0.00266282,0.765
delete_mark,8000,0.0112981,0.00276117,0.809
delete_mark,10000,0.0111194,0.00276559,0.81
