phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.000415657,0.000574616,0.88
insert,2000,0.000414288,0.000573792,0.88
insert,3000,0.000416209,0.000577248,0.88
insert,4000,0.00041607,0.000578829,0.88
insert,5000,0.000413197,0.000584685,0.877
insert,6000,0.000405791,0.000582867,0.868
insert,7000,0.000400844,0.000581235,0.856
insert,8000,0.000397687,0.0005775,0.851
insert,9000,0.000396188,0.000576302,0.845
insert,10000,0.00039544,0.000574856,0.845
delete_no_rebuild,2000,7.46205e-08,0.000582296,0.845
delete_no_rebuild,4000,7.4097e-08,0.000571549,0.845
delete_rebuild,6000,0.00105857,0.000686944,0.823
delete_rebuild,8000,0.00102187,0.000661047,0.807
delete_rebuild,10000,0.00101102,0.000648482,0.796
