phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.000681786,0.000753683,0.881
insert,2000,0.000680337,0.000668808,0.881
insert,3000,0.000692662,0.000752775,0.881
insert,4000,0.000695643,0.000750447,0.881
insert,5000,0.00068816,0.000774796,0.878
insert,6000,0.00067252,0.000741697,0.869
insert,7000,0.00066286,0.000744629,0.857
insert,8000,0.000656206,0.00074438,0.852
insert,9000,0.000652331,0.000726409,0.846
insert,10000,0.000651305,0.000732039,0.846
delete_patch,2000,0.00371671,0.000782781,0.846
delete_patch,4000,0.00356574,0.000739957,0.846
delete_patch,6000,0.00365057,0.000721687,0.824
delete_patch,8000,0.00348795,0.000826762,0.808
delete_patch,10000,0.0034414,0.00081992,0.797
