phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.000657655,0.00064984,0.881
insert,2000,0.000688583,0.000759972,0.881
insert,3000,0.000705216,0.000757314,0.881
insert,4000,0.000710524,0.000774181,0.881
insert,5000,0.000701907,0.000759927,0.878
insert,6000,0.000684584,0.000746983,0.869
insert,7000,0.00067317,0.000747082,0.857
insert,8000,0.000665414,0.000762095,0.852
insert,9000,0.000662706,0.000747926,0.846
insert,10000,0.0006622,0.000764387,0.846
delete_patch,2000,0.00329927,0.00086745,0.846
delete_patch,4000,0.00309263,0.000963833,0.846
delete_patch,6000,0.00320938,0.000847978,0.824
delete_patch,8000,0.00302875,0.000776287,0.808
delete_patch,10000,0.00296051,0.0008325,0.797
