phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.000570239,0.000594019,0.881
insert,2000,0.000570128,0.000579841,0.881
insert,3000,0.000573611,0.000586109,0.881
insert,4000,0.000571076,0.000585812,0.881
insert,5000,0.000566104,0.00059305,0.878
insert,6000,0.000554619,0.000580741,0.869
insert,7000,0.000545044,0.000588605,0.857
insert,8000,0.000538747,0.000581164,0.852
insert,9000,0.000535474,0.000592355,0.846
insert,10000,0.000534599,0.000589514,0.846
delete_patch,2000,0.00666416,0.000653986,0.846
delete_patch,4000,0.00648765,0.000635277,0.846
delete_patch,6000,0.00638421,0.000602996,0.824
delete_patch,8000,0.00609775,0.000617632,0.808
delete_patch,10000,0.0059317,0.000597045,0.797
