phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.00107781,0.00106342,0.881
insert,2000,0.00104036,0.00103396,0.881
insert,3000,0.00102778,0.0010303,0.881
insert,4000,0.00101848,0.00103519,0.881
insert,5000,0.00100156,0.00104747,0.878
insert,6000,0.000979124,0.00103599,0.869
insert,7000,0.000960717,0.00102441,0.857
insert,8000,0.000948679,0.00103181,0.852
insert,9000,0.000940319,0.00101619,0.846
insert,10000,0.000935681,0.00102564,0.846
delete_patch,2000,0.0068621,0.00200831,0.846
delete_patch,4000,0.00723637,0.00101527,0.846
delete_patch,6000,0.00664285,0.00117284,0.824
delete_patch,8000,0.00624077,0.00116525,0.808
delete_patch,10000,0.00616191,0.00162987,0.797
