phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.00010756,0.0424954,0.933
insert,2000,8.88967e-05,0.0412863,0.933
insert,3000,8.19654e-05,0.0417049,0.933
insert,4000,7.93857e-05,0.0413516,0.934
insert,5000,7.79214e-05,0.0406626,0.923
insert,6000,7.63811e-05,0.0412772,0.898
insert,7000,7.55378e-05,0.0410346,0.879
insert,8000,7.33393e-05,0.0409525,0.869
insert,9000,7.24839e-05,0.0407942,0.863
insert,10000,7.18905e-05,0.041228,0.862
delete_patch,2000,0.0405418,0.0416466,0.84
delete_patch,4000,0.0441347,0.0447964,0.813
delete_patch,6000,0.0469448,0.0415619,0.767
