phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.000101212,0.00141527,0.315
insert,2000,8.65934e-05,0.00109232,0.315
insert,3000,8.14932e-05,0.00110223,0.315
insert,4000,7.90235e-05,0.00111327,0.315
insert,5000,7.76032e-05,0.00109675,0.315
insert,6000,7.62944e-05,0.00110618,0.315
insert,7000,7.51423e-05,0.00109447,0.315
insert,8000,7.32994e-05,0.00137538,0.314
insert,9000,7.28117e-05,0.00109525,0.314
insert,10000,7.2235e-05,0.001117,0.314
delete_patch,2000,0.021605,0.00123813,0.306
delete_patch,4000,0.0237096,0.00114836,0.296
delete_patch,6000,0.0239838,0.00136184,0.267
delete_patch,8000,0.023632,0.00115445,0.242
