phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.000545172,0.000574794,0.881
insert,2000,0.000546584,0.000573216,0.881
insert,3000,0.000545961,0.000566499,0.881
insert,4000,0.000544477,0.000562588,0.881
insert,5000,0.00053721,0.00056571,0.878
insert,6000,0.000525077,0.00056558,0.869
insert,7000,0.000516956,0.000561701,0.857
insert,8000,0.000513272,0.000573459,0.852
insert,9000,0.000511453,0.000559927,0.846
insert,10000,0.000510884,0.000559752,0.846
delete_patch,2000,0.00225036,0.000682082,0.846
delete_patch,4000,0.00213137,0.000663175,0.846
delete_patch,6000,0.00213966,0.000664324,0.824
delete_patch,8000,0.0020151,0.000657328,0.808
delete_patch,10000,0.00197555,0.000654122,0.797
