phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.000545179,0.000581964,0.881
insert,2000,0.000549689,0.000572373,0.881
insert,3000,0.000551216,0.000573173,0.881
insert,4000,0.00055073,0.000586728,0.881
insert,5000,0.000545282,0.000569843,0.878
insert,6000,0.000532915,0.000574134,0.869
insert,7000,0.000524445,0.000575628,0.857
insert,8000,0.00051956,0.00058295,0.852
insert,9000,0.000517262,0.000569649,0.846
insert,10000,0.000516051,0.000575031,0.846
delete_patch,2000,0.00625121,0.000674536,0.846
delete_patch,4000,0.00605555,0.000670933,0.846
delete_patch,6000,0.00595378,0.000667794,0.824
delete_patch,8000,0.00571576,0.000662861,0.808
delete_patch,10000,0.00557473,0.000655265,0.797
