phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.000540498,0.000575587,0.881
insert,2000,0.000541106,0.000564388,0.881
insert,3000,0.000542765,0.000571769,0.881
insert,4000,0.000542238,0.000566638,0.881
insert,5000,0.000535357,0.000569538,0.878
insert,6000,0.000525189,0.000573605,0.869
insert,7000,0.00051748,0.000580153,0.857
insert,8000,0.000512626,0.000574047,0.852
insert,9000,0.000510641,0.000562537,0.846
insert,10000,0.000509543,0.000562295,0.846
delete_patch,2000,0.00274397,0.000644991,0.846
delete_patch,4000,0.00267235,0.00064422,0.846
delete_patch,6000,0.00265384,0.000631526,0.824
delete_patch,8000,0.00249474,0.000605912,0.808
delete_patch,10000,0.00243913,0.000610728,0.797
