phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.000535933,0.000566375,0.881
insert,2000,0.000537942,0.00055955,0.881
insert,3000,0.000540286,0.000568824,0.881
insert,4000,0.00053982,0.000565051,0.881
insert,5000,0.000533803,0.000566855,0.878
insert,6000,0.000523319,0.000572193,0.869
insert,7000,0.000515367,0.000557725,0.857
insert,8000,0.000510598,0.000559613,0.852
insert,9000,0.000508189,0.000560361,0.846
insert,10000,0.000507217,0.000557342,0.846
delete_patch,2000,0.00247427,0.000668143,0.846
delete_patch,4000,0.00233725,0.000655283,0.846
delete_patch,6000,0.00235025,0.00065468,0.824
delete_patch,8000,0.00222303,0.000651808,0.808
delete_patch,10000,0.00217999,0.000648787,0.797
