phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.00042148,0.000565236,0.88
insert,2000,0.000416433,0.000576346,0.88
insert,3000,0.000418301,0.000563349,0.88
insert,4000,0.000416442,0.000564072,0.88
insert,5000,0.000412443,0.000574354,0.877
insert,6000,0.000403396,0.000564317,0.868
insert,7000,0.000397037,0.000559819,0.856
insert,8000,0.000393089,0.000559762,0.851
insert,9000,0.000390996,0.000562908,0.845
insert,10000,0.000390047,0.000560154,0.845
delete_patch,2000,0.001168,0.000670316,0.845
delete_patch,4000,0.00112745,0.000663725,0.845
delete_patch,6000,0.00112046,0.000665319,0.823
delete_patch,8000,0.00107316,0.000647146,0.807
delete_patch,10000,0.00105606,0.000646785,0.796
