variant,run_id,split_strategy,use_sampling,full_threshold,sample_size,balance_min_frac,aknn_build_s,aknn_search_s,aknn_recall,update_build_s,update_insert_avg_s_per_item,update_final_recall
gist,baseline,1,lb,0,200,300,0.1,232.049316,0.003216,0.891000,,,0.878
gist,baseline,2,lb,0,200,300,0.1,222.861450,0.003220,0.871000,250.984665,0.005801,0.878
gist,baseline,3,lb,0,200,300,0.1,229.693573,0.003035,0.879000,245.781250,0.005984,0.887
gist,exp2,1,mst,1,32,64,0.05,238.964523,0.004035,0.875000,236.162628,0.005887,0.885
gist,exp2,2,mst,1,32,64,0.05,241.566391,0.003665,0.878000,235.103653,0.005647,0.884
gist,exp2,3,mst,1,32,64,0.05,239.814438,0.003629,0.880000,234.845444,0.005139,0.888
gist,exp3,1,mst,1,32,128,0.05,243.728546,0.003037,0.889000,237.013275,0.005713,0.89
gist,exp3,2,mst,1,32,128,0.05,243.200470,0.003867,0.893000,250.355209,0.006138,0.888
gist,exp3,3,mst,1,32,128,0.05,239.526718,0.003556,0.884000,236.854172,0.005939,0.867
gist,exp4,1,mst,1,64,64,0.05,237.378357,0.003225,0.890000,243.395035,0.005348,0.882
gist,exp4,2,mst,1,64,64,0.05,241.996201,0.002950,0.877000,236.216415,0.006120,0.891
gist,exp4,3,mst,1,64,64,0.05,245.899918,0.003651,0.879000,234.453232,0.005359,0.883
gist,exp5,1,mst,1,64,128,0.05,244.065338,0.003304,0.888000,244.567642,0.005782,0.891
gist,exp5,2,mst,1,64,128,0.05,245.509613,0.003216,0.882000,244.654480,0.005449,0.873
gist,exp5,3,mst,1,64,128,0.05,246.430283,0.004100,0.884000,238.488815,0.005382,0.879
gist,exp6,1,mst,1,128,128,0.05,239.156982,0.002946,0.882000,235.644516,0.005514,0.884
gist,exp6,2,mst,1,128,128,0.05,243.152588,0.003079,0.883000,235.667648,0.005594,0.894
gist,exp6,3,mst,1,128,128,0.05,235.080002,0.003841,0.888000,243.775192,0.005392,0.884
gist,exp7,1,mst,1,32,64,0.01,237.846603,0.003247,0.875000,235.274200,0.005843,0.884
gist,exp7,2,mst,1,32,64,0.01,237.288422,0.002937,0.891000,244.993561,0.006092,0.886
gist,exp7,3,mst,1,32,64,0.01,234.619553,0.003341,0.889000,237.038025,0.005218,0.894
gist,exp8,1,mst,1,32,64,0.10,234.708786,0.003812,0.892000,235.055740,0.005606,0.886
gist,exp8,2,mst,1,32,64,0.10,244.007660,0.003903,0.884000,236.990494,0.005475,0.881
gist,exp8,3,mst,1,32,64,0.10,240.233383,0.003886,0.885000,236.792557,0.005325,0.89
